,utterance,classes,prompt,bigscience/T0pp
718,can you tell me how to close my account?,"['close account', 'close account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",close account. no thanks i have already closed my account
719,this company sucks! can you terminate my account?,"['terminate account', 'terminate account']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",sucks! can you terminate my account?
720,"what do i do if an atm "stole" my card?","['stole" card', 'stole" card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n","stole" card.. what do i do"
721,how do i retrieve my card from the machine?,"['retrieve card', 'retrieve machine']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",retrieve card retrieve machine????????????
722,i was retrieving money and my card wouldn't remove,"['retrieving money', 'remove card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",remove card retrieving money. cash back
723,what do i do since the machine swallowed my card i need one,"['need one', 'need one']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",want one. i need one.
724,how do i get my card back after the atm has pulled it in?,"['pulled card', 'pulled atm']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",pulled card pulled atm.. show me how
725,atm took my card,"['took card', 'took card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",stole the card. taken card from bank teller
726,is there a way i can get my atm card back from the machine?,"['get card', 'atm card', 'get machine']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",machine get card retrieve from holder in a few minutes
727,i think the atm ate my card,"['ate card', 'ate card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",ate card. wikipedia.org
728,the atm didn't give me the card back!,"['give card', 'give card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",give card. xmlns:xsdxxxn
729,how can i get my card out of the damn atm?,"['get card', 'damn atm', 'get atm']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",get card out of the damn atm.
730,the atm won't give my card back!,"['give card', 'give card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",give card -lrb- american version : the bank will spit me out if i don't
731,how can i get my card back out?,"['get card', 'get card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",get card.. from wallet with sleeve
732,the atm machine stole my card,"['stole card', 'atm machine', 'stole card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",stole card atm machine?.
733,the atm at metro bank on high st kensington swallowed my card how do i get it back?,"['get card', 'st kensington', 'high kensington', 'get card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",kensington get card st kennington
734,my atm got stuck and i'm not sure what to do,['do atm'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",get some fresh dough in atm.
735,the atm ate my card,"['ate card', 'ate card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",ate card. atm..
736,the atm won't give me my card back,"['give card', 'give card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",the atm won't give me my card back.
737,my card was confiscated by an atm how do i get my card back?,"['get card', 'get card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",card confiscation by atm - wikipedia
738,what do i do if the atm ate my card?,"['ate card', 'ate card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",ate card. [ edit] The ATM ATE my card.
739,atm still has my card,"['has card', 'has card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",has card.. <unk> nn
740,what do i do if an atm ate my card?,"['ate card', 'ate card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",it ate my card..i don't know how to withdraw money
741,what happens if the atm doesn't give me back my card?,"['give card', 'give card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",give card. is the most suitable intent based on the above utterance.
742,i can't pull my card out of the atm help me,"['help card', 'help atm']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",help with atm card. thank you.
743,i have a problem!  the atm stole my card!,"['stole card', 'stole card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",stole card.. i have a problem!
744,why would an atm swallow my card?,"['swallow card', 'swallow card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",swallow card. the most suitable intent based on the above utterance.
745,my card was taken by the atm,['taken card'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",taken card. <unk> - taiwan
746,help!  the atm won't give me my card back,"['give card', 'give card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",help! the atm won't give me my card back.
747,the stupid machine just swallowed my card!! i need a new one asap,"['need one', 'new one', 'need one']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",need one. <unk> mr. money
748,how do i retrieve a trapped card from a atm?,"['retrieve card', 'trapped card', 'trapped atm']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",retrieve card trapped card stuck atm.
749,my card is stuck in the atm what can i do?,['do atm'],"{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",fix my card atm problems..
750,i was getting cash and can't get my card back,"['get card', 'get card']","{}\n Choose the most suitable intent based on the above utterance.\nOptions\n{}\n",get card. i was getting cash and can't get my card back.
